n,corr_h_binned_vs_gt_mc,corr_clf_vs_ref,corr_llr_binned_vs_gt_mc,wall_seconds
80,-0.13843562815245172,0.36301181159077744,0.0010785687279395956,3.713102340698242
200,0.45247082851595943,0.4408758879273825,0.6412611876697978,4.143799543380737
400,0.5586793071977152,0.43038123415030993,0.6648503779792908,4.544659614562988
600,0.7465274545441931,0.6095114224784391,0.8175607793677895,5.767759799957275
